3260	15.28
3265	15.38
3270	15.48
3275	15.63
3280	15.72
3285	15.82
3290	15.92
3295	16.08
3300	16.17
3305	16.28
3310	16.44
3315	16.59
3320	16.69
3325	16.80
3330	16.95
3335	17.11
3340	17.23
3345	17.33
3350	17.44
3355	17.60
3360	17.72
3365	17.88
3370	17.99
3375	18.10
3380	18.26
3385	18.42
3390	18.53
3395	18.65
3400	18.76
3405	18.98
3410	19.19
3415	19.31
3420	19.42
3425	19.59
3430	19.76
3435	19.92
3440	20.14
3445	20.30
3450	20.47
3455	20.63
3460	20.80
3465	20.96
3470	21.13
3475	21.29
3480	21.45
3485	21.67
3490	21.83
3495	22
3500	22.17
3505	22.33
3510	22.49
3515	22.65
3520	22.82
3525	22.97
3530	23.08
3535	23.25
3540	23.41
3545	23.52
3550	23.67
3555	23.83
3560	23.99
3565	24.15
3570	24.26
3575	24.36
3580	24.51
3585	24.67
3590	24.83
3595	24.92
3600	25.03
3605	25.18
3610	25.38
3615	25.52
3620	25.67
3625	25.82
3630	25.92
3635	26.11
3640	26.26
3645	26.30
3650	26.34
3655	26.53
3660	26.72
3665	26.76
3670	26.80
3675	26.93
3680	27.01
3685	27.20
3690	27.38
3695	27.46
3700	27.54
3705	27.62
3710	27.69
3715	27.77
3720	27.90
3725	27.97
3730	28.04
3735	28.11
3740	28.18
3745	28.10
3750	28.01
3755	28.18
3760	28.29
3765	28.26
3770	28.22
3775	28.42
3780	28.63
3785	28.64
3790	28.60
3795	28.49
3800	28.45
3805	28.40
3810	28.30
3815	28.44
3820	28.60
3825	28.69
3830	28.73
3835	28.67
3840	28.57
3845	28.45
3850	28.39
3855	28.28
3860	28.17
3865	28.25
3870	28.33
3875	28.26
3880	28.24
3885	28.22
3890	28.19
3895	28.02
3900	27.90
3905	27.97
3910	28.04
3915	27.86
3920	27.63
3925	27.50
3930	27.31
3935	27.53
3940	27.74
3945	27.51
3950	27.27
3955	27.28
3960	27.29
3965	27.20
3970	27.15
3975	27.11
3980	27.01
3985	26.82
3990	26.63
3995	26.52
4000	26.48
4005	26.38
4010	26.28
4015	26.22
4020	26.13
4025	26.02
4030	25.92
4035	25.81
4040	25.66
4045	25.50
4050	25.40
4055	25.24
4060	25.08
4065	24.97
4070	24.81
4075	24.65
4080	24.53
4085	24.38
4090	24.22
4095	24.10
4100	23.94
4105	23.77
4110	23.61
4115	23.45
4120	23.33
4125	23.17
4130	23.01
4135	22.84
4140	22.67
4145	22.51
4150	22.40
4155	22.28
4160	22.17
